,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
P26-NH58,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],aaaaa,Group: 4
P37-NH62,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],aaaaa,Group: 4
P10-NH58,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],aaaaa,Group: 4
P29-NH58,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],aaaaa,Group: 4
P21-NH58,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],aaaaa,Group: 4
P28-NH58,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],baaab,Group: 4
P61-NH58,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],baaab,Group: 4
P70-NH58,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],baaab,Group: 4
P31-NH60,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],baaab,Group: 4
P56-NH62,[81-354],[66-324],[100-251],[62-362],[92-318],[50-348],[43-247],[25-186],[56-221],[98-259],[54-277],[73-325],[57-259],[51-228],[94-289],[91-271],[54-268],[115-252],[58-258],[76-233],[68-239],[67-307],[70-296],[61-272],[73-288],[66-230],[82-313],[87-314],[116-330],[72-347],baaab,Group: 4
